review_id,product_id,customer_id,order_id,rating,review_text,review_date,is_verified_purchase,helpful_votes
1,307,3906,48627,3,Довго йшла доставка,2023-12-03,True,5
2,413,10623,63749,5,"Все чудово, швидка доставка",2022-06-02,True,2
3,209,12084,50268,3,Є нарікання,2024-06-22,True,10
4,250,12941,57765,1,Довго йшла доставка,2022-09-23,True,50
5,321,873,66209,5,"Все як на фото, супер!",2023-09-15,True,25
6,62,12550,76069,4,"Все як на фото, супер!",2024-08-19,True,5
7,214,4153,55912,5,"Все чудово, швидка доставка",2024-06-17,True,18
8,294,9971,25215,3,Не відповідає опису,2023-03-17,True,45
9,302,6245,50751,4,"Якість відмінна, дякую",2023-11-12,False,48
10,121,10971,75375,5,"Чудовий товар, рекомендую!",2024-05-04,True,38
11,49,10652,72495,5,Дуже задоволений покупкою,2022-05-14,False,12
12,471,6972,46406,3,Якість не дуже,2023-06-30,True,34
13,189,9099,67695,5,Дуже задоволений покупкою,2022-11-06,True,20
14,444,1729,5265,4,"Все чудово, швидка доставка",2024-07-03,False,35
15,220,12682,14148,4,"Все чудово, швидка доставка",2024-09-28,True,25
16,240,8531,35162,5,"Чудовий товар, рекомендую!",2023-05-04,True,46
17,8,5327,33032,5,Дуже задоволений покупкою,2024-11-21,True,29
18,289,1077,47251,4,Дуже задоволений покупкою,2022-05-14,True,27
19,137,6304,19186,5,"Все чудово, швидка доставка",2023-01-07,True,33
20,228,5198,8584,5,"Все як на фото, супер!",2024-09-16,True,29
21,384,11341,46146,4,"Все чудово, швидка доставка",2023-12-12,True,17
22,171,4932,37123,4,"Чудовий товар, рекомендую!",2024-04-11,True,50
23,43,13198,48364,5,"Все чудово, швидка доставка",2023-05-18,True,38
24,286,2959,77232,5,"Якість відмінна, дякую",2023-10-10,True,45
25,111,3496,50626,5,"Все чудово, швидка доставка",2023-03-30,False,12
26,262,11251,25841,3,Не відповідає опису,2024-06-01,True,38
27,31,13878,32087,1,Очікував кращого,2024-12-04,False,5
28,165,4265,78871,4,Дуже задоволений покупкою,2023-11-05,True,39
29,443,11854,43674,3,Довго йшла доставка,2023-04-07,True,3
30,453,9351,79453,5,"Все чудово, швидка доставка",2024-10-22,True,5
31,96,1816,7094,5,"Чудовий товар, рекомендую!",2023-03-14,True,25
32,244,8265,7238,1,Не відповідає опису,2024-09-11,True,31
33,177,7259,56818,1,Не відповідає опису,2022-04-10,True,9
34,318,3895,9452,5,Дуже задоволений покупкою,2023-07-27,False,35
35,476,7904,64461,3,Є нарікання,2022-07-31,True,48
36,250,691,14542,2,Очікував кращого,2024-04-09,True,34
37,236,12310,11030,5,Дуже задоволений покупкою,2024-09-28,False,37
38,180,10824,13018,5,Дуже задоволений покупкою,2022-07-03,True,1
39,232,14764,47070,4,"Чудовий товар, рекомендую!",2024-03-15,True,4
40,280,11172,23801,5,Дуже задоволений покупкою,2022-11-29,True,47
41,230,6189,21702,5,"Все чудово, швидка доставка",2024-01-02,False,18
42,66,5882,55998,4,"Якість відмінна, дякую",2023-12-19,True,20
43,8,11082,39601,4,"Чудовий товар, рекомендую!",2023-05-19,True,28
44,319,13849,23138,5,"Якість відмінна, дякую",2023-11-23,True,4
45,323,5489,10323,5,Дуже задоволений покупкою,2023-07-12,True,35
